,,,,,,,,
,,,,,,,,
,,,,,,,,
,,Date,Day,Just Eat,Till,Others,Total Sales,Deliveries
,,01/02/2018,Thursday,£265.15,£133.32,£101.54,£500.01,23
,,02/02/2018,Friday,£313.73,£140.43,£82.46,£536.62,31
,,03/02/2018,Saturday,£345.74,£189.29,£88.91,£623.94,31
,,04/02/2018,Sunday,£391.40,£167.29,£116.32,£675.01,31
,,05/02/2018,Monday,£237.01,£122.78,£40.89,£400.68,20
,,06/02/2018,Tuesday,£306.95,£51.15,£86.23,£444.33,21
,,07/02/2018,Wednesday,£276.15,£124.37,£123.71,£524.23,27
,,08/02/2018,Thursday,£198.08,£83.37,£105.39,£386.84,19
,,09/02/2018,Friday,£388.97,£150.86,£142.48,£682.31,31
,,10/02/2018,Saturday,£276.33,£49.93,£195.30,£521.56,20
,,11/02/2018,Sunday,£254.26,£83.63,£85.86,£423.75,21
,,12/02/2018,Monday,£241.87,£97.77,£90.05,£429.69,22
,,13/02/2018,Tuesday,£427.37,£135.72,£87.52,£650.61,32
,,14/02/2018,Wednesday,£288.82,£115.65,£90.90,£495.37,23
,,15/02/2018,Thursday,£341.85,£135.49,£130.86,£608.20,29
,,16/02/2018,Friday,£390.45,£93.54,£123.58,£607.57,27
,,17/02/2018,Saturday,£175.09,£69.35,£154.08,£398.52,15
,,18/02/2018,Sunday,£484.87,£85.74,£249.74,£820.35,33
,,19/02/2018,Monday,£305.56,£85.11,£217.58,£608.25,27
,,20/02/2018,Tuesday,£217.59,£130.49,£89.26,£437.34,19
,,21/02/2018,Wednesday,£129.63,£83.57,£99.46,£312.66,14
,,22/02/2018,Thursday,£233.83,£106.47,£150.51,£490.81,18
,,23/02/2018,Friday,£405.67,£181.13,£115.47,£702.27,28
,,24/02/2018,Saturday,£422.04,£101.99,£70.94,£594.97,32
,,25/02/2018,Sunday,£274.91,£181.18,£63.06,£519.15,20
,,26/02/2018,Monday,£249.39,£86.53,£85.47,£421.39,19
,,27/02/2018,Tuesday,£324.11,£124.32,£78.10,£526.53,26
,,28/02/2018,Wednesday,£282.49,£51.60,£19.56,£353.65,20
,Total,,,"£8,449.31","£3,162.07","£3,085.23","£14,696.61",679